OD ID,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment
OD01,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Cash
OD02,Member,Male,Snacks and Fastfood,43.23,1,13.032,43.23,17-Jul-23,14:47,Cash
OD03,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Cash
OD12,Member,Female,Food and beverages,34.23,1,42.312,34.23,17-Jul-23,11:36,Cash
OD13,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Debit Card
OD14,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,17-Jul-23,14:47,Debit Card
OD15,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Ewallet/Mo-Banking
OD16,Member,Female,Food Grains,32.33,1,13.43,32.33,17-Jul-23,19:48,Ewallet/Mo-Banking
OD17,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,17-Jul-23,15:51,Cash
OD18,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,17-Jul-23,11:43,Ewallet/Mo-Banking
OD19,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,17-Jul-23,13:55,Cash
OD20,Member,Female,Food Grains,23.04,1,2.403,23.04,17-Jul-23,20:26,Cash
OD21,Member,Female,Frozen and poultry,34.22,1,33.11,34.22,17-Jul-23,14:42,Ewallet/Mo-Banking
OD22,Member,Female,Food Grains,23.22,2,3.322,46.44,17-Jul-23,11:40,Cash
OD23,Normal,Male,Food and beverages,21.12,3,3.443,63.36,17-Jul-23,19:31,Cash
OD24,Member,Female,Food and beverages,34.23,1,42.312,34.23,17-Jul-23,11:36,Cash
OD25,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Cash
OD26,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,17-Jul-23,14:47,Debit Card
OD27,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Ewallet/Mo-Banking
OD28,Member,Female,Food Grains,32.33,1,13.43,32.33,17-Jul-23,19:48,Cash
OD29,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,17-Jul-23,15:51,Cash
OD30,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,17-Jul-23,11:43,Cash
OD31,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,17-Jul-23,13:55,Cash
OD32,Member,Female,Food Grains,23.04,1,2.403,23.04,17-Jul-23,20:26,Cash
OD33,Member,Female,Frozen and poultry,34.22,1,33.11,34.22,17-Jul-23,14:42,Cash
OD34,Member,Female,Food Grains,23.22,2,3.322,46.44,17-Jul-23,11:40,Debit Card
OD35,Normal,Male,Food and beverages,21.12,3,3.443,63.36,17-Jul-23,19:31,Debit Card
OD36,Member,Female,Food and beverages,34.23,1,42.312,34.23,17-Jul-23,11:36,Ewallet/Mo-Banking
OD37,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Ewallet/Mo-Banking
OD38,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,17-Jul-23,14:47,Cash
OD39,Normal,Female,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Ewallet/Mo-Banking
OD40,Normal,Female,Food Grains,32.33,1,13.43,32.33,17-Jul-23,19:48,Cash
OD41,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,17-Jul-23,15:51,Ewallet/Mo-Banking
OD42,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,17-Jul-23,11:43,Cash
OD43,Normal,Female,Oil and masalas,22.34,3,23.233,67.02,17-Jul-23,13:55,Cash
OD44,Normal,Female,Food Grains,23.04,1,2.403,23.04,17-Jul-23,20:26,Cash
OD45,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,17-Jul-23,14:42,Cash
OD46,Normal,Female,Food Grains,23.22,2,3.322,46.44,17-Jul-23,11:40,Cash
OD47,Normal,Male,Food and beverages,21.12,3,3.443,63.36,17-Jul-23,19:31,Debit Card
OD48,Member,Female,Food and beverages,34.23,1,42.312,34.23,17-Jul-23,11:36,Ewallet/Mo-Banking
OD49,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Cash
OD50,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,17-Jul-23,14:47,Cash
OD51,Member,Male,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Cash
OD52,Member,Male,Food Grains,32.33,1,13.43,32.33,17-Jul-23,19:48,Cash
OD53,Member,Female,Frozen and poultry,23.22,2,2.322,46.44,17-Jul-23,15:51,Cash
OD54,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,17-Jul-23,11:43,Cash
OD55,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,17-Jul-23,13:55,Debit Card
OD56,Member,Female,Food Grains,23.04,1,2.403,23.04,17-Jul-23,20:26,Debit Card
OD57,Normal,Male,Frozen and poultry,34.22,1,33.11,34.22,17-Jul-23,14:42,Ewallet/Mo-Banking
OD58,Member,Male,Food Grains,23.22,2,3.322,46.44,17-Jul-23,11:40,Ewallet/Mo-Banking
OD59,Normal,Male,Food and beverages,21.12,3,3.443,63.36,17-Jul-23,19:31,Cash
OD60,Normal,Female,Food and beverages,34.23,1,42.312,34.23,17-Jul-23,11:36,Ewallet/Mo-Banking
OD61,Normal,Male,Food Grains,34.34,2,21.333,68.68,17-Jul-23,10:39,Cash
OD62,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,17-Jul-23,14:47,Cash
OD63,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,17-Jul-23,19:07,Cash
OD64,Normal,Male,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Cash
OD65,Normal,Female,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Cash
OD66,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,18-Jul-23,11:43,Cash
OD67,Member,Male,Oil and masalas,22.34,3,23.233,67.02,18-Jul-23,13:55,Cash
OD68,Member,Female,Food Grains,23.04,1,2.403,23.04,18-Jul-23,20:26,Debit Card
OD69,Normal,Male,Frozen and poultry,34.22,1,33.11,34.22,18-Jul-23,14:42,Ewallet/Mo-Banking
OD70,Member,Male,Food Grains,23.22,2,3.322,46.44,18-Jul-23,11:40,Cash
OD71,Member,Male,Food and beverages,21.12,3,3.443,63.36,18-Jul-23,19:31,Cash
OD72,Normal,Female,Food and beverages,34.23,1,42.312,34.23,18-Jul-23,11:36,
OD73,Normal,Male,Food Grains,34.34,2,21.333,68.68,18-Jul-23,10:39,Cash
OD74,Member,Male,Snacks and Fastfood,43.23,3,13.032,129.69,18-Jul-23,14:47,Cash
OD75,Member,Male,Frozen and poultry,23.22,2,22.413,46.44,18-Jul-23,19:07,Cash
OD76,Member,Male,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Cash
OD77,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Debit Card
OD78,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,18-Jul-23,11:43,Ewallet/Mo-Banking
OD79,Normal,Male,Oil and masalas,22.34,3,23.233,67.02,18-Jul-23,13:55,Cash
OD80,Member,Female,Food Grains,23.04,1,2.403,23.04,18-Jul-23,20:26,Cash
OD81,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,18-Jul-23,14:42,Cash
OD82,Normal,Female,Food Grains,23.22,2,3.322,46.44,18-Jul-23,11:40,Cash
OD83,Normal,Female,Food and beverages,21.12,3,3.443,63.36,18-Jul-23,19:31,Cash
OD84,Normal,Male,Food and beverages,34.23,1,42.312,34.23,18-Jul-23,11:36,Cash
OD85,Member,Male,Food Grains,34.34,2,21.333,68.68,18-Jul-23,10:39,Debit Card
OD86,Normal,Male,Snacks and Fastfood,43.23,3,13.032,129.69,18-Jul-23,14:47,Debit Card
OD87,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,18-Jul-23,19:07,Ewallet/Mo-Banking
OD88,Normal,Male,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Ewallet/Mo-Banking
OD89,Normal,Male,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Cash
OD90,Normal,Female,Drinks/Beverage,22.33,2,2.233,44.66,18-Jul-23,11:43,Ewallet/Mo-Banking
OD91,Member,Male,Oil and masalas,22.34,3,23.233,67.02,18-Jul-23,13:55,Cash
OD92,Member,Female,Food Grains,23.04,1,2.403,23.04,18-Jul-23,20:26,Cash
OD93,Normal,Female,Frozen and poultry,34.22,1,33.11,34.22,18-Jul-23,14:42,Ewallet/Mo-Banking
OD94,Normal,Female,Food Grains,23.22,2,3.322,46.44,18-Jul-23,11:40,Cash
OD95,Normal,Female,Food and beverages,21.12,3,3.443,63.36,18-Jul-23,19:31,Cash
OD96,Normal,Male,Food and beverages,34.23,1,42.312,34.23,18-Jul-23,11:36,Cash
OD97,Normal,Male,Food Grains,34.34,2,21.333,68.68,18-Jul-23,10:39,Cash
OD98,Normal,Female,Snacks and Fastfood,43.23,3,13.032,129.69,18-Jul-23,14:47,Debit Card
OD99,Normal,Male,Frozen and poultry,23.22,2,22.413,46.44,18-Jul-23,19:07,Ewallet/Mo-Banking
OD100,Normal,Female,Food Grains,32.33,1,13.43,32.33,18-Jul-23,19:48,Cash
OD101,Member,Male,Frozen and poultry,23.22,2,2.322,46.44,18-Jul-23,15:51,Cash
OD102,Normal,Male,Drinks/Beverage,22.33,2,2.233,44.66,18-Jul-23,11:43,Cash
OD103,Member,Male,Oil and masalas,22.34,3,23.233,67.02,18-Jul-23,13:55,Cash
OD104,Member,Female,Food Grains,23.04,1,2.403,23.04,18-Jul-23,20:26,Cash
OD105,Normal,Male,Frozen and poultry,34.22,1,33.11,34.22,18-Jul-23,14:42,Cash
